NIS code;Woonplaats;Mannen;Vrouwen;Totaal
63045;Lierneux;1.803;1.772;3.575
63046;Limburg;2.925;2.980;5.905
63048;Lontzen;2.913;2.920;5.833
63049;Malmedy;6.183;6.614;12.797
63057;Olne;2.026;2.010;4.036
63058;Pepinster;4.750;4.943;9.693
63061;Raeren;5.346;5.472;10.818
63067;Sankt Vith;4.899;4.880;9.779
63072;Spa;4.912;5.237;10.149
63073;Stavelot;3.583;3.570;7.153
63075;Stoumont;1.580;1.594;3.174
63076;Theux;5.856;6.156;12.012
63079;Verviers;26.985;28.305;55.290
63080;Weismes;3.744;3.635;7.379
63084;Welkenraedt;4.934;5.134;10.068
63086;Trois-Ponts;1.273;1.280;2.553
63087;Burg-Reuland;2.018;1.956;3.974
63088;Plombières;5.254;5.273;10.527
63089;Thimister-Clermont;2.853;2.828;5.681
64000;Arrondissement Borgworm;39.989;41.900;81.889
64008;Berloz;1.580;1.555;3.135
64015;Braives;3.187;3.204;6.391
64021;Crisnée;1.707;1.758;3.465
64023;Donceel;1.569;1.519;3.088
64025;Fexhe-le-Haut-Clocher;1.613;1.603;3.216
64029;Geer;1.736;1.742;3.478
64034;Hannuit;8.017;8.668;16.685
64047;Lijsem;1.620;1.660;3.280
64056;Oerle;1.884;2.020;3.904
64063;Remicourt;2.894;3.078;5.972
64065;Saint-Georges-sur-Meuse;3.418;3.506;6.924
64074;Borgworm;7.355;8.089;15.444
64075;Wasseiges;1.450;1.519;2.969
64076;Faimes;1.959;1.979;3.938
70000;Provincie Limburg;436.771;440.599;877.370
71000;Arrondissement Hasselt;208.089;212.223;420.312
71002;As;4.074;4.162;8.236
71004;Beringen;23.357;23.241;46.598
71011;Diepenbeek;9.547;9.543;19.090
71016;Genk;32.799;33.648;66.447
71017;Gingelom;4.219;4.170;8.389
71020;Halen;4.732;4.753;9.485
71022;Hasselt;38.542;40.172;78.714
71024;Herk-de-Stad;6.257;6.393;12.650
71034;Leopoldsburg;7.875;7.975;15.850
71037;Lummen;7.568;7.410;14.978
71045;Nieuwerkerken (Hasselt);3.433;3.565;6.998
71053;Sint-Truiden;20.046;20.626;40.672
71057;Tessenderlo;9.196;9.531;18.727
71066;Zonhoven;10.517;10.810;21.327
71067;Zutendaal;3.662;3.620;7.282
71069;Ham;5.457;5.520;10.977
71070;Heusden-Zolder;16.808;17.084;33.892
72000;Arrondissement Maaseik;126.506;125.609;252.115
72003;Bocholt;6.609;6.535;13.144
72004;Bree;8.048;8.121;16.169
72018;Kinrooi;6.168;6.038;12.206
72020;Lommel;17.236;17.009;34.245
72021;Maaseik;12.598;12.712;25.310
72030;Peer;8.206;8.092;16.298
72037;Hamont-Achel;7.256;7.043;14.299
72038;Hechtel-Eksel;6.356;6.154;12.510
